CLASS	longitude	latitude	location	COMM_CODE	NAME	SECTOR	COMM_STRUCTURE	RES_CNT	DWELL_CNT	EMPLYD_CNT	EMPLYD_PCT	Homeowners_cnt	Homeowners_pct	SING_FAMLY	DUPLEX	MULTI_PLEX	APARTMENT	TOWN_HOUSE	MANUF_HOME	CONV_STRUC	COMUNL_HSE	RES_COMM	OTHER_RES	NURSING_HM	OTHER_INST	OTHER_MISC	APT_NO_RES	APT_OCCPD	APT_OWNED	APT_PERSON	APT_VACANT	APT_UC	APT_NA	DUP_NO_RES	DUP_OCCPD	DUP_OWNED	DUP_PERSON	DUP_VACANT	DUP_UC	DUP_NA	TWN_NO_RES	TWN_OCCPD	TWN_OWNED	TWN_PERSON	TWN_VACANT	TWN_UC	TWN_NA	SF_NO_RES	SF_OCCPD	SF_OWNED	SF_PERSON	SF_VACANT	SF_UC	SF_NA	OTH_STRTY	DWELSZ_1	DWELSZ_2	DWELSZ_3	DWELSZ_4_5	DWELSZ_6	MALE_CNT	FEMALE_CNT	MALE_0_4	MALE_5_14	MALE_15_19	MALE_20_24	MALE_25_34	MALE_35_44	MALE_45_54	MALE_55_64	MALE_65_74	MALE_75	FEM_0_4	FEM_5_14	FEM_15_19	FEM_20_24	FEM_25_34	FEM_35_44	FEM_45_54	FEM_55_64	FEM_65_74	FEM_75	MF_0_4	MF_5_14	MF_15_19	MF_20_24	MF_25_34	MF_35_44	MF_45_54	MF_55_64	MF_65_74	MF_75	MF_65O	MF_65O_PCT	2014_RES_CNT	2014_DWELL_CNT	2014_EMPLYD_CNT	2014_OWNSHP_CNT	2014_SING_FAMLY	2014_DUPLEX	2014_MULTI_PLEX	2014_APARTMENT	2014_TOWN_HOUSE	2014_MANUF_HOME	2014_CONV_STRUC	2014_COMUNL_HSE	2014_RES_COMM	2014_OTHER_RES	2014_NURSING_HM	2014_APT_NO_RES	2014_APT_OCCPD	2014_APT_OWNED	2014_APT_PERSON	2014_APT_VACANT	2014_APT_UC	2014_APT_NA	2014_DUP_NO_RES	2014_DUP_OCCPD	2014_DUP_OWNED	2014_DUP_PERSON	2014_DUP_VACANT	2014_DUP_UC	2014_DUP_NA	2014_TWN_NO_RES	2014_TWN_OCCPD	2014_TWN_OWNED	2014_TWN_PERSON	2014_TWN_VACANT	2014_TWN_UC	2014_TWN_NA	2014_SF_NO_RES	2014_SF_OCCPD	2014_SF_OWNED	2014_SF_PERSON	2014_SF_VACANT	2014_SF_UC	2014_SF_NA	2014_OTH_STRTY	2014_DWELSZ_1	2014_DWELSZ_2	2014_DWELSZ_3	2014_DWELSZ_4_5	2014_DWELSZ_6	2014_MALE_CNT	2014_FEMALE_CNT	2014_MALE_55_64	2014_MALE_65_74	2014_MALE_75	2014_FEM_65_74	2014_FEM_55_64	2014_FEM_75	2014_MF_55_64	2014_MF_65_74	2014_MF_75	2014_MF65O	Percent_Change_65OMF	Actual_Change_65OMF	Percent_Chg_65OvsTtl	Crimes_2014	Crimes_2017	Percent_Change_Crime	Crime_Avg	Percent_Total_Crime_2017	Attraction	Community_Centre	Hospital	Library	PHS_Clinic	Social _Dev_Ctr	Business_Licenses	Business_Licenses_2017	Percent_New_Business	Number of taxable accounts	Median assessed value	LRT_1km_radius	LRT_2km_radius	Seniors_Services_Ttl	Addiction Services - Seniors	Seniors - Transportation	Seniors - Educational Programs	Seniors - Recreation	Seniors  - Abuse Issues	3 Digit Numbers List	Seniors - Housing	Seniors - Respite / Caregiver	Seniors - Food Assistance and Grocery Shopping	Seniors - Health and Safety	Seniors - Legal Information and Assistance	Seniors - Financial Assistance and Pensions	Seniors - Government Services	Seniors - Death and Funerals
Residual Sub Area	-114.2424553	51.10283763	"(51.1028376289627, -114.242455310672)"	01B	01B	NORTHWEST	UNDEVELOPED	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	9	-0.25	10.5	7.12E-05	0	0	0	0	0	0	0	0	0	#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Residual Sub Area	-114.2380254	51.08500751	"(51.0850075104338, -114.238025428836)"	01C	01C	WEST	UNDEVELOPED	13	3	13	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	2	0	0	0	1	6	7	0	0	0	2	1	0	1	2	0	0	0	0	0	3	2	0	0	2	0	0	0	0	0	5	3	0	1	4	0	0	0	0	13	5	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	1	2	1	1	0	0	1	8	5	2	0	0	0	0	0	2	0	0	0	0	0	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	0	0	0	0	0	0	0	0	#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Residual Sub Area	#N/A	#N/A	#N/A	01D	01D	WEST	UNDEVELOPED	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	0	0	0	0	0	0	0	0	#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Residual Sub Area	-114.2866317	51.11694348	"(51.1169434798511, -114.286631687736)"	01G	01G	NORTHWEST	UNDEVELOPED	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	0	0	0	0	0	0	0	0	#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Residual Sub Area	-114.2806848	51.09104171	"(51.0910417093879, -114.280684840359)"	01H	01H	WEST	UNDEVELOPED	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	0	0	0	0	0	0	0	0	#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Residual Sub Area	-114.260848	51.08016787	"(51.0801678716552, -114.260847983135)"	01I	01I	WEST	UNDEVELOPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	0	0	0	0	0	0	0	0	#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Residual Sub Area	#N/A	#N/A	#N/A	02A	02A	NORTHWEST	UNDEVELOPED	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	28	5	0	0	0	5	10	9	4	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	5	11	11	6	0	0	0	0	0	284	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	142	142	0	0	0	0	0	0	0	0	0	0	0	0	0	68	13	-0.808823529	40.5	0.000102842	1	0	0	0	0	0	0	0	0	#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Residual Sub Area	-114.1993996	51.17603194	"(51.1760319383122, -114.199399553289)"	02B	02B	NORTH	UNDEVELOPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	0	0	0	0	0	0	0	0	#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Residual Sub Area	-114.1766751	51.17602376	"(51.1760237633938, -114.176675056574)"	02C	02C	NORTH	UNDEVELOPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	0	0	0	0	0	0	0	0	#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Residual Sub Area	-114.199362	51.16143453	"(51.1614345289931, -114.19936200174)"	02E	02E	NORTHWEST	OTHER	1040	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	953	87	0	3	48	240	487	90	50	35	0	0	0	1	9	31	30	11	5	0	0	0	0	4	57	271	517	101	55	35	0	0	0	0	1106	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	1021	85	50	0	0	0	0	0	50	0	0	0	0	0	0	44	53	0.204545455	48.5	0.000419277	0	0	0	0	0	0	0	0	0	#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
